epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.108,1.04127,2.08003,1.90073,1.27574,0.58078,0.54204,0.55738,0.40083,0.56984,0.52385,0.53658,0.34539,0.94667,2.13243,1.21965,1.21152,0.00019501,0.00019501,0.00019501
2,321.725,0.96401,1.77429,1.2025,1.18813,0.60946,0.57199,0.59764,0.4223,0.60989,0.57361,0.59972,0.39107,1.00696,1.91992,1.203,1.27174,0.000387139,0.000387139,0.000387139
3,483.236,0.97026,1.77029,1.14285,1.19081,0.63265,0.60946,0.63424,0.45597,0.63774,0.58206,0.60071,0.369,0.96525,2.42285,1.08963,1.22399,0.000575387,0.000575387,0.000575387
4,644.259,0.95194,1.70821,1.08466,1.17457,0.59105,0.6974,0.67015,0.49749,0.60428,0.69934,0.67613,0.47729,0.88431,1.65169,0.96464,1.14923,0.000570536,0.000570536,0.000570536
5,805.42,0.91735,1.62767,1.01042,1.15299,0.62165,0.69429,0.68598,0.53157,0.62987,0.69833,0.69467,0.50506,0.83678,1.52914,0.85051,1.10713,0.000564715,0.000564715,0.000564715
6,966.389,0.87399,1.52374,0.92823,1.12603,0.61136,0.74452,0.71398,0.55213,0.61302,0.74964,0.72253,0.5255,0.81385,1.40817,0.75572,1.07979,0.000558894,0.000558894,0.000558894
7,1127.17,0.8464,1.45838,0.87672,1.10695,0.6211,0.82017,0.73117,0.5667,0.6377,0.80335,0.74854,0.55685,0.78246,1.3231,0.71032,1.07194,0.000553073,0.000553073,0.000553073
8,1288.21,0.82281,1.42117,0.84857,1.0938,0.68102,0.7832,0.75969,0.61314,0.68424,0.78462,0.76579,0.59493,0.72873,1.25708,0.66279,1.0347,0.000547252,0.000547252,0.000547252
9,1449.68,0.80642,1.38005,0.81212,1.08603,0.65949,0.81522,0.76039,0.6179,0.66878,0.81882,0.7708,0.59544,0.71757,1.18558,0.62799,1.01773,0.00054143,0.00054143,0.00054143
10,1614.77,0.78021,1.32853,0.77615,1.07054,0.68567,0.81516,0.76855,0.61598,0.71913,0.80442,0.78043,0.5999,0.71174,1.19586,0.65995,1.02357,0.000535609,0.000535609,0.000535609
11,1779.53,0.77349,1.31412,0.76695,1.06408,0.7122,0.79493,0.77613,0.63187,0.71854,0.80568,0.78417,0.61184,0.6944,1.1424,0.62604,0.99657,0.000529788,0.000529788,0.000529788
12,1944.13,0.76112,1.27039,0.73436,1.05721,0.69543,0.83729,0.78012,0.64186,0.70102,0.83492,0.79139,0.62866,0.68393,1.09978,0.57207,0.99993,0.000523967,0.000523967,0.000523967
13,2108.96,0.74965,1.24594,0.72409,1.04443,0.73563,0.81425,0.79014,0.64938,0.74485,0.81702,0.80327,0.63858,0.66936,1.07009,0.58056,0.98905,0.000518146,0.000518146,0.000518146
14,2273.5,0.74073,1.22963,0.70478,1.04357,0.76625,0.75481,0.77721,0.64401,0.77559,0.76168,0.791,0.62581,0.65784,1.07601,0.57943,0.98428,0.000512324,0.000512324,0.000512324
15,2437.98,0.72628,1.20674,0.69955,1.03228,0.68173,0.82935,0.78993,0.65917,0.68714,0.83798,0.80378,0.6508,0.65484,1.06004,0.56423,0.98105,0.000506503,0.000506503,0.000506503
16,2599.55,0.70683,1.17912,0.66542,1.02206,0.72881,0.8334,0.78344,0.65313,0.74247,0.83087,0.79942,0.64383,0.66504,1.06072,0.56923,0.98774,0.000500682,0.000500682,0.000500682
17,2760.2,0.70387,1.16486,0.66245,1.02563,0.68932,0.85137,0.78757,0.65552,0.6924,0.86805,0.80127,0.6399,0.63447,1.05968,0.55037,0.96322,0.000494861,0.000494861,0.000494861
18,2920.66,0.69424,1.14979,0.63967,1.01454,0.67063,0.85432,0.79777,0.67001,0.67555,0.86428,0.80831,0.65273,0.64942,1.01739,0.56277,0.98009,0.00048904,0.00048904,0.00048904
19,3081.2,0.69244,1.14616,0.64434,1.01401,0.71429,0.85176,0.80052,0.67128,0.72028,0.85205,0.81607,0.65937,0.6434,1.00072,0.53963,0.97294,0.000483218,0.000483218,0.000483218
20,3241.75,0.67397,1.12081,0.62788,1.00476,0.71876,0.83232,0.80395,0.685,0.72693,0.84302,0.82005,0.67225,0.61324,0.98457,0.53727,0.95027,0.000477397,0.000477397,0.000477397
21,3402.48,0.66831,1.10231,0.61529,1.00066,0.72839,0.84906,0.80092,0.67944,0.73933,0.86333,0.81899,0.66805,0.6053,0.97805,0.52599,0.94774,0.000471576,0.000471576,0.000471576
22,3562.72,0.6658,1.08763,0.60769,0.99545,0.73326,0.83719,0.80298,0.67623,0.74967,0.81995,0.81597,0.66483,0.6169,0.98131,0.51936,0.95569,0.000465755,0.000465755,0.000465755
23,3723.11,0.65103,1.05199,0.58824,0.9918,0.72259,0.81368,0.81574,0.68948,0.73125,0.82632,0.83105,0.67319,0.60217,0.96059,0.52013,0.9475,0.000459934,0.000459934,0.000459934
24,3883.61,0.64276,1.03588,0.57891,0.98643,0.71715,0.87789,0.81872,0.69425,0.7282,0.8635,0.83493,0.68213,0.60655,0.93612,0.49083,0.95582,0.000454112,0.000454112,0.000454112
25,4043.83,0.64181,1.03183,0.57549,0.98684,0.7544,0.80612,0.8142,0.6942,0.76912,0.80679,0.82608,0.68087,0.60954,0.95777,0.50394,0.95381,0.000448291,0.000448291,0.000448291
26,4204.01,0.62829,1.00421,0.5615,0.97825,0.77543,0.8153,0.82186,0.70953,0.79024,0.83007,0.84279,0.69088,0.58372,0.91895,0.48851,0.93498,0.00044247,0.00044247,0.00044247
